	Translation	Positive	Negative	EmotionRationale
business group complains trump h 1b reform boosting u s graduates big tech is whining that they will have to hire american instead of cheap foreign labor too bad so sad america first not h 1b workers url via	business group complains trump h 1b reform boosting you s graduates big tech is whining that they will have to hire american instead of cheap foreign labor too bad so sad america first not h 1b workers url via	1	-4	 business[0] group[0] complains[-1] trump[0] h[0] 1b[0] reform[0] boosting[0] u[0] s[0] graduates[0] big[0] tech[0] is[0] whining[-2] that[0] they[0] will[0] have[0] to[0] hire[0] american[0] instead[0] of[0] cheap[-1] foreign[-1] labor[0] too[0] bad[-1] so[0] sad[-3] america[0] first[0] not[0] h[0] 1b[0] workers[0] url[0] via[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
who s the absent candidate now sleepy joe is signaling that he s very much awake and dialed into a moment where trump s leadership is ripe for questioning url	who s the absent candidate now sleepy joe is signaling that he s very much awake and dialed into a moment where trump s leadership is ripe for questioning url	1	-2	 who[0] s[0] the[0] absent[-1] candidate[0] now[0] sleepy[0] joe[0] is[0] signaling[0] that[0] he[0] s[0] very[0] much[0] awake[0] and[0] dialed[0] into[0] a[0] moment[0] where[0] trump[0] s[0] leadership[0] is[0] ripe[0] for[0] questioning[0] url[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that moron trump vows to veto the defense bill if it includes renaming bases so once again military salaries and defense preparedness are second in importance to his racism trump supporters in the military soon there will be none	that moron trump vows to veto the defense bill if it includes renaming bases so once again military salaries and defense preparedness are second in importance to his racism trump supporters in the military soon there will be none	2	-3	 that[0] moron[-2] trump[0] vows[0] to[0] veto[-1] the[0] defense[0] bill[0] if[0] it[0] includes[0] renaming[0] bases[0] so[0] once[0] again[0] military[0] salaries[0] and[0] defense[0] preparedness[0] are[0] second[0] in[0] importance[0] to[0] his[0] racism[-1] trump[0] supporters[1] in[0] the[0] military[0] soon[0] there[0] will[0] be[0] none[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
yep torturing that guy because the dems don t care	yep torturing that guy because the dems don t care	2	-4	 yep[0] torturing[-3] that[0] guy[0] because[0] the[0] dems[0] don[0] t[0] care[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
1 funny how biden barely criticizes putin and on the china virus doesn t criticize xi instead he smears trump the reason is the democrats don t really have any problems with putin or xi and both dictators are rooting for biden	1 funny how biden barely criticizes putin and on the china virus doesn t criticize xi instead he smears trump the reason is the democrats don t really have any problems with putin or xi and both dictators are rooting for biden	2	-2	 1[0] funny[1] how[0] biden[0] barely[0] criticizes[-1] putin[0] and[0] on[0] the[0] china[0] virus[0] doesn[0] t[0] criticize[-1] xi[0] instead[0] he[0] smears[-1] trump[0] the[0] reason[0] is[0] the[0] democrats[0] don[0] t[0] really[0] have[0] any[0] problems[-1] with[0] putin[0] or[0] xi[0] and[0] both[0] dictators[0] are[0] rooting[0] for[0] biden[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
arizona reports record spike in new coronavirus cases amp deaths ahead of pence s visit his megachurch stunt took place 5 days ago in phoenix url	arizona reports record spike in new coronavirus cases amp deaths ahead of pence s visit his megachurch stunt took place 5 days ago in phoenix url	1	-3	 arizona[0] reports[0] record[0] spike[0] in[0] new[0] coronavirus[0] cases[0] amp[0] deaths[-2] ahead[0] of[0] pence[0] s[0] visit[0] his[0] megachurch[0] stunt[-1] took[0] place[0] 5[0] days[0] ago[0] in[0] phoenix[0] url[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
debate president trump prove you don t have dementia dementiajoecantdebate joebidenscaredtodebate	debate president trump prove you don t have dementia dementiajoecantdebate joebidenscaredtodebate	1	-1	 debate[0] president[0] trump[0] prove[0] you[0] don[0] t[0] have[0] dementia[0] dementiajoecantdebate[0] joebidenscaredtodebate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you disrespected our soldiers in afganistan so your not and better	you disrespected our soldiers in afganistan so your not and better	1	-1	 you[0] disrespected[0] our[0] soldiers[0] in[0] afganistan[0] so[0] your[0] not[0] and[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
breaking the taliban has just admitted to accepting money from russia to kill u s troops this is not a hoax vladimir putin is taking part in a murder for hire scheme targeting american soldiers while trump and pompeo sit back and enjoy the show trumpistaliban	breaking the taliban has just admitted to accepting money from russia to kill you s troops this is not a hoax vladimir putin is taking part in a murder for hire scheme targeting american soldiers while trump and pompeo sit back and enjoy the show trumpistaliban	3	-4	 breaking[0] the[0] taliban[0] has[0] just[0] admitted[0] to[0] accepting[0] money[0] from[0] russia[0] to[0] kill[-1] u[0] s[0] troops[0] this[0] is[0] not[0] a[0] hoax[0] vladimir[0] putin[0] is[0] taking[0] part[0] in[0] a[0] murder[-3] for[0] hire[0] scheme[0] targeting[0] american[0] soldiers[0] while[0] trump[0] and[0] pompeo[0] sit[0] back[0] and[0] enjoy[2] the[0] show[0] trumpistaliban[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
democrats are always saving dinosaurs like grassley after they fvck up	democrats are always saving dinosaurs like grassley after they fvck up	2	-1	 democrats[0] are[0] always[0] saving[0] dinosaurs[0] like[1] grassley[0] after[0] they[0] fvck[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just found out about you and so far i love your policies and what you have to say ofc i still need to read more about your stances and plans but i m very impressed with what i m hearing especially your social security plan it would be an honor to vote for you	just found out about you and so far i love your policies and what you have to say ofc i still need to read more about your stances and plans but i m very impressed with what i m hearing especially your social security plan it would be an honor to vote for you	3	-1	 just[0] found[0] out[0] about[0] you[0] and[0] so[0] far[0] i[0] love[2] your[0] policies[0] and[0] what[0] you[0] have[0] to[0] say[0] ofc[0] i[0] still[0] need[0] to[0] read[0] more[0] about[0] your[0] stances[0] and[0] plans[0] but[0] i[0] m[0] very[0] impressed[1][1 LastWordBoosterStrength] with[0] what[0] i[0] m[0] hearing[0] especially[0] your[0] social[0] security[1] plan[0] it[0] would[0] be[0] an[0] honor[0] to[0] vote[0] for[0] you[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
someone sounds triggered even more than usual today and yes knows how to tweet he would just never tweet about his ratings in the middle of a pandemic because that s what sociopathic narcissist dumpsterfires who have no idea how to be president do url	someone sounds triggered even more than usual today and yes knows how to tweet he would just never tweet about his ratings in the middle of a pandemic because that s what sociopathic narcissist dumpsterfires who have no idea how to be president do url	1	-2	 someone[0] sounds[0] triggered[0] even[0] more[0] than[0] usual[0] today[0] and[0] yes[0] knows[0] how[0] to[0] tweet[0] he[0] would[0] just[0] never[0] tweet[0] about[0] his[0] ratings[0] in[0] the[0] middle[0] of[0] a[0] pandemic[0] because[0] that[0] s[0] what[0] sociopathic[0] narcissist[0] dumpsterfires[-1] who[0] have[0] no[0] idea[0] how[0] to[0] be[0] president[0] do[0] url[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nancy pelosi says we cannot accept a second term for president trump its not for you to decide luckily for wethepeople we get to choose our next president and we will proudly re elect trumplandslidevictory2 2 vote url	nancy pelosi says we cannot accept a second term for president trump its not for you to decide luckily for wethepeople we get to choose our next president and we will proudly re elect trumplandslidevictory2 2 vote url	3	-1	 nancy[0] pelosi[0] says[0] we[0] cannot[0] accept[0] a[0] second[0] term[0] for[0] president[0] trump[0] its[0] not[0] for[0] you[0] to[0] decide[0] luckily[2] for[0] wethepeople[0] we[0] get[0] to[0] choose[0] our[0] next[0] president[0] and[0] we[0] will[0] proudly[1] re[0] elect[0] trumplandslidevictory2[0] 2[0] vote[0] url[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
4 companies will boycott facebook ads starting today over its failure to tackle hate speech and making exceptions for president trump s pro violence posts the 1 month stophateforprofit boycott started by civil rights groups includes coca cola starbucks ben amp jerry s url	4 companies will boycott facebook ads starting today over its failure to tackle hate speech and making exceptions for president trump s pro violence posts the 1 month stophateforprofit boycott started by civil rights groups includes coca cola starbucks ben amp jerry s url	1	-4	 4[0] companies[0] will[0] boycott[0] facebook[0] ads[0] starting[0] today[0] over[0] its[0] failure[-2] to[0] tackle[0] hate[-3] speech[0] and[0] making[0] exceptions[0] for[0] president[0] trump[0] s[0] pro[0] violence[-3] posts[0] the[0] 1[0] month[0] stophateforprofit[0] boycott[0] started[0] by[0] civil[0] rights[0] groups[0] includes[0] coca[0] cola[0] starbucks[0] ben[0] amp[0] jerry[0] s[0] url[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
since they now claim you read donnie check this out please url	since they now claim you read donnie check this out please url	2	-1	 since[0] they[0] now[0] claim[0] you[0] read[0] donnie[0] check[0] this[0] out[0] please[1] url[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
indigenous tribes condemn trump s border wall destruction as president protects confederate monuments url	indigenous tribes condemn trump s border wall destruction as president protects confederate monuments url	1	-2	 indigenous[0] tribes[0] condemn[-1] trump[0] s[0] border[0] wall[0] destruction[-1] as[0] president[0] protects[0] confederate[0] monuments[0] url[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why should a black lives matter sign antagonize police the only people antagonized by black lives matter signs are racists are you implying that nypd cops are racist you didn t really think this tweet out did you	why should a black lives matter sign antagonize police the only people antagonized by black lives matter signs are racists are you implying that nypd cops are racist you didn t really think this tweet out did you	1	-2	 why[0] should[0] a[0] black[0] lives[0] matter[0] sign[0] antagonize[-1] police[0] the[0] only[0] people[0] antagonized[-1] by[0] black[0] lives[0] matter[0] signs[0] are[0] racists[-1] are[0] you[0] implying[0] that[0] nypd[0] cops[0] are[0] racist[-1] you[0] didn[0] t[0] really[0] think[0] this[0] tweet[0] out[0] did[0] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dude get a grip	dude get a grip	1	-1	 dude[0] get[0] a[0] grip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe biden help a press conference did media ask him about his involvement in framing general flynn fakenews	joe biden help a press conference did media ask him about his involvement in framing general flyn fakenews	1	-2	 joe[0] biden[0] help[0] a[0] press[0] conference[0] did[0] media[0] ask[0] him[0] about[0] his[0] involvement[0] in[0] framing[0] general[0] flynn/flyn[0] fakenews[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so every piece of mail trump receives at trump tower will have obama s name on it perfect	so every piece of mail trump receives at trump tower will have obama s name on it perfect	2	-1	 so[0] every[0] piece[0] of[0] mail[0] trump[0] receives[0] at[0] trump[0] tower[0] will[0] have[0] obama[0] s[0] name[0] on[0] it[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is like the 4th or 5th time this story has come out since trump took office	this is like the 4th or 5th time this story has come out since trump took office	2	-1	 this[0] is[0] like[1] the[0] 4th[0] or[0] 5th[0] time[0] this[0] story[0] has[0] come[0] out[0] since[0] trump[0] took[0] office[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
opinion trump s ugly new spin on russia bounties actually incriminates him url	opinion trump s ugly new spin on russia bounties actually incriminates him url	1	-3	 opinion[0] trump[0] s[0] ugly[-2] new[0] spin[0] on[0] russia[0] bounties[0] actually[0] incriminates[0] him[0] url[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
biden will move quickly to reverse this if elected his donors will resume helping china build their military machine and economic dominance url	biden will move quickly to reverse this if elected his donors will resume helping china build their military machine and economic dominance url	1	-1	 biden[0] will[0] move[0] quickly[0] to[0] reverse[0] this[0] if[0] elected[0] his[0] donors[0] will[0] resume[0] helping[0] china[0] build[0] their[0] military[0] machine[0] and[0] economic[0] dominance[0] url[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
time for donald trump to exit the white house and enter prison	time for donald trump to exit the white house and enter prison	1	-2	 time[0] for[0] donald[0] trump[0] to[0] exit[-1] the[0] white[0] house[0] and[0] enter[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
trump s message to our troops sure i may be selling you out to putin but i m also threatening to veto your pay raise just to keep honoring traitors to our country url	trump s message to our troops sure i may be selling you out to putin but i m also threatening to veto your pay raise just to keep honoring traitors to our country url	1	-3	 trump[0] s[0] message[0] to[0] our[0] troops[0] sure[0] i[0] may[0] be[0] selling[0] you[0] out[0] to[0] putin[0] but[0] i[0] m[0] also[0] threatening[-2] to[0] veto[-1] your[0] pay[0] raise[0] just[0] to[0] keep[0] honoring[0] traitors[-2] to[0] our[0] country[0] url[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no corroborating evidence to back reports department of defense do people still not understand that this is all a made up fake news media hoax started to slander me amp the republican party i was never briefed because any info that they may have had did not rise to that level	no corroborating evidence to back reports department of defense do people still not understand that this is all a made up fake news media hoax started to slander me amp the republican party i was never briefed because any info that they may have had did not rise to that level	1	-2	 no[0] corroborating[0] evidence[0] to[0] back[0] reports[0] department[0] of[0] defense[0] do[0] people[0] still[0] not[0] understand[0] that[0] this[0] is[0] all[0] a[0] made[0] up[0] fake[-1] news[0] media[0] hoax[0] started[0] to[0] slander[-1] me[0] amp[0] the[0] republican[0] party[0] i[0] was[0] never[0] briefed[0] because[0] any[0] info[0] that[0] they[0] may[0] have[0] had[0] did[0] not[0] rise[0] to[0] that[0] level[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
can t believe how badly has done in the newly released tv ratings they are so far below thank you president trump that you can barely find them fredo should be given a big pay cut msdnc also did poorly as i have long said fake news does not pay	can t believe how badly has done in the newly released tv ratings they are so far below thank you president trump that you can barely find them fredo should be given a big pay cut msdnc also did poorly as i have long said fake news does not pay	2	-2	 can[0] t[0] believe[0] how[0] badly[-1] has[0] done[0] in[0] the[0] newly[0] released[0] tv[0] ratings[0] they[0] are[0] so[0] far[0] below[0] thank[1] you[0] president[0] trump[0] that[0] you[0] can[0] barely[0] find[0] them[0] fredo[0] should[0] be[0] given[0] a[0] big[0] pay[0] cut[0] msdnc[0] also[0] did[0] poorly[-1][--1 LastWordBoosterStrength] as[0] i[0] have[0] long[0] said[0] fake[-1] news[0] does[0] not[0] pay[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he can t tweet at all	he can t tweet at all	1	-1	 he[0] can[0] t[0] tweet[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after murders of young people	after murders of young people	1	-4	 after[0] murders[-3] of[0] young[0] people[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if elected president you can bet will never tweet about his tv ratings	if elected president you can bet will never tweet about his tv ratings	1	-1	 if[0] elected[0] president[0] you[0] can[0] bet[0] will[0] never[0] tweet[0] about[0] his[0] tv[0] ratings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aren t you getting dizzy from all the spinning you re doing face it you re a traitor to our country trumptraitor trumpkillsustroops biden2 2 landslide url	aren t you getting dizy from all the spinning you re doing face it you re a traitor to our country trumptraitor trumpkillsustroops biden2 2 landslide url	1	-3	 aren[0] t[0] you[0] getting[0] dizzy/dizy[0] from[0] all[0] the[0] spinning[0] you[0] re[0] doing[0] face[0] it[0] you[0] re[0] a[0] traitor[-2] to[0] our[0] country[0] trumptraitor[0] trumpkillsustroops[0] biden2[0] 2[0] landslide[0] url[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in addition to painting black lives matter on the street in front of trump tower they should also change the name of 5th avenue to president barack obama boulevard raise your hand if you agree	in addition to painting black lives matter on the street in front of trump tower they should also change the name of 5th avenue to president barack obama boulevard raise your hand if you agree	1	-1	 in[0] addition[0] to[0] painting[0] black[0] lives[0] matter[0] on[0] the[0] street[0] in[0] front[0] of[0] trump[0] tower[0] they[0] should[0] also[0] change[0] the[0] name[0] of[0] 5th[0] avenue[0] to[0] president[0] barack[0] obama[0] boulevard[0] raise[0] your[0] hand[0] if[0] you[0] agree[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the impeached will always blame others	the impeached will always blame others	1	-2	 the[0] impeached[0] will[0] always[0] blame[-1] others[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
